"site.plot","ACMI","AGGI","ANCA","ANMA","ANVI","ANCA.1","ASSY","BRIN","CAREX","CENI","CIAR","CLVIR","COST","DACA","DIAR","ECVU","EQAR","ERAN","FAGR","FERN","FRVI","GEUR","HIVU","HYPE","INHE","LEVU","LIVUL","LOCAN","LOCO","LOPE","LYAM","MEAL","MELU","MEPI","MOFI","OXST","PHAR","PHPR","PIST","PLLA","POAL","POPR","PORE","RAAC","RHCA","ROMU","RUHI","RULA","RUOC","SEVA","SOARV","SOSP","STME","SYCO","SYER","SYLA","SYNO","TAOF","TORA","TRHY","TRPRA","VAOF","VEOF","VETH","VICR","VIRI","VIRO"
3.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0,7.5,0,0,0,0,0,0,0,0,5,0,80
3.4,0,2,0,0,0,0,2.5,2,0,0,0,0,0,0,0,0,0.75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1,0,0,0,0,0,0,0,2,0,90
3.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.5,0,35
4.1,0,0,0,0,0,0,0,40,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,5,0,0,0.25,0,0,0,0,0,0,45,0,85
4.11,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,10,0,0,0,0.75,0,0,0,0,0,0,0,0,20,0,10
4.12,0,0,0,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,7,0,60
4.13,0,0,0,0,0,0,0,20,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,25,0,80
4.14,0,0,0,0,0,0,7,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,75
4.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,25,0.5,0,2.5,0,1,1,0,0,0,0,0,0,0,0,80
4.16,0,0,0,0,0,0,7,15,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,15
